CurrentRank,Country,CurrentScore,LifeExp,ExpSchYrs,MeanSchYrs,GNIperCapita,PreviousRank,Continent,Status
174,Gambia,0.500,62.1,9.4,4.6,"2,172",173,Africa,Low
175,Ethiopia,0.498,65.0,9.7,3.2,"2,361",175,Africa,Low
176,Eritrea,0.492,66.5,8.1,4.9,"1,729",176,Africa,Low
177,Guinea-Bissau,0.483,59.7,10.6,3.6,"1,908",177,Africa,Low
178,Liberia,0.481,60.7,10.4,5.1,"1,289",179,Africa,Low
179,Dem. Rep. Congo,0.479,59.2,9.8,7.0,"1,076",180,Africa,Low
180,Afghanistan,0.478,62.0,10.3,3.0,"1,824",177,Asia,Low
181,Sierra Leone,0.477,60.1,9.6,4.6,"1,622",181,Africa,Low
182,Guinea,0.465,58.9,9.8,2.2,"2,481",182,Africa,Low
183,Yemen,0.455,63.8,9.1,3.2,"1,314",183,Africa,Low
184,Burkina Faso,0.449,59.3,9.1,2.1,"2,118",185,Africa,Low
185,Mozambique,0.446,59.3,10.2,3.2,"1,198",184,Africa,Low
186,Mali,0.428,58.9,7.4,2.3,"2,133",186,Africa,Low
187,Burundi,0.426,61.7,10.7,3.1,732,187,Africa,Low
188,Central African Rep.,0.404,53.9,8.0,4.3,966,188,Africa,Low
189,Niger,0.400,61.6,7.0,2.1,"1,240",189,Africa,Low
190,Chad,0.394,52.5,8.0,2.6,"1,364",190,Africa,Low
191,S. Sudan,0.385,55.0,5.5,5.7,768,191,Africa,Low
NA,North Korea,NA,73.3,10.8,NA,NA,NA,Asia,NA
NA,Monaco,NA,85.9,NA,NA,NA,NA,Europe,NA
NA,Nauru,NA,63.6,11.7,NA,"17,730",NA,Australia,NA
NA,Somalia,NA,55.3,NA,NA,"1,018",NA,Africa,NA
NA,Very high human development,0.896,78.5,16.5,12.3,"43,752",NA,NA,NA
NA,High human development,0.754,74.7,14.2,8.3,"15,167",NA,NA,NA
NA,Medium human development,0.636,67.4,11.9,6.9,"6,353",NA,NA,NA
NA,Low human development,0.518,61.3,9.5,4.9,"3,009",NA,NA,NA
NA,Developing countries,0.685,69.9,12.3,7.5,"10,704",NA,NA,NA
NA,Arab States,0.708,70.9,12.4,8.0,"13,501",NA,NA,NA
NA,East Asia and the Pacific,0.749,75.6,13.8,7.8,"15,580",NA,NA,NA
NA,Europe and Central Asia,0.796,72.9,15.4,10.6,"19,352",NA,NA,NA
NA,Latin America and the Caribbean,0.754,72.1,14.8,9.0,"14,521",NA,NA,NA
NA,South Asia,0.632,67.9,11.6,6.7,"6,481",NA,NA,NA
NA,Sub-Saharan Africa,0.547,60.1,10.3,6.0,"3,699",NA,NA,NA
NA,Least developed countries,0.540,64.2,10.2,5.2,"2,881",NA,NA,NA
NA,Small island developing states,0.730,70.3,12.4,9.1,"16,782",NA,NA,NA
NA,Organisation for Economic Co-operation and Development,0.899,79.0,16.5,12.3,"45,087",NA,NA,NA
NA,World,0.732,71.4,12.8,8.6,"16,752",NA,NA,NA
