CurrentRank,Country,CurrentScore,Data,Years,Continent,Status
171,Djibouti,0.509,Expected,7.4,Africa,Low
172,Sudan,0.508,Expected,7.9,Africa,Low
173,Madagascar,0.501,Expected,10.1,Africa,Low
174,Gambia,0.5,Expected,9.4,Africa,Low
175,Ethiopia,0.498,Expected,9.7,Africa,Low
176,Eritrea,0.492,Expected,8.1,Africa,Low
177,Guinea-Bissau,0.483,Expected,10.6,Africa,Low
178,Liberia,0.481,Expected,10.4,Africa,Low
179,Dem. Rep. Congo,0.479,Expected,9.8,Africa,Low
180,Afghanistan,0.478,Expected,10.3,Asia,Low
181,Sierra Leone,0.477,Expected,9.6,Africa,Low
182,Guinea,0.465,Expected,9.8,Africa,Low
183,Yemen,0.455,Expected,9.1,Africa,Low
184,Burkina Faso,0.449,Expected,9.1,Africa,Low
185,Mozambique,0.446,Expected,10.2,Africa,Low
186,Mali,0.428,Expected,7.4,Africa,Low
187,Burundi,0.426,Expected,10.7,Africa,Low
188,Central African Rep.,0.404,Expected,8,Africa,Low
189,Niger,0.4,Expected,7,Africa,Low
190,Chad,0.394,Expected,8,Africa,Low
191,S. Sudan,0.385,Expected,5.5,Africa,Low
