CurrentRank,Country,CurrentScore,LifeExp,Type,SchYrs,GNIperCapita,PreviousRank,Continent,Status
140,Vanuatu,0.607,70.4,Mean,7.1,"3,085",142,Australia,Medium
143,Nepal,0.602,68.4,Mean,5.1,"3,877",144,Asia,Medium
144,eSwatini,0.597,57.1,Mean,5.6,"7,679",141,Africa,Medium
145,Eq. Guinea,0.596,60.6,Mean,5.9,"12,074",147,Africa,Medium
146,Cambodia,0.593,69.6,Mean,5.1,"4,079",148,Asia,Medium
146,Zimbabwe,0.593,59.3,Mean,8.7,"3,810",145,Africa,Medium
148,Angola,0.586,61.6,Mean,5.4,"5,466",149,Africa,Medium
149,Myanmar,0.585,65.7,Mean,6.4,"3,851",145,Asia,Medium
150,Syria,0.577,72.1,Mean,5.1,"4,192",152,Asia,Medium
151,Cameroon,0.576,60.3,Mean,6.2,"3,621",150,Africa,Medium
152,Kenya,0.575,61.4,Mean,6.7,"4,474",150,Africa,Medium
153,Congo,0.571,63.5,Mean,6.2,"2,889",153,Africa,Medium
154,Zambia,0.565,61.2,Mean,7.2,"3,218",154,Africa,Medium
155,Solomon Is.,0.564,70.3,Mean,5.7,"2,482",155,Australia,Medium
156,Comoros,0.558,63.4,Mean,5.1,"3,142",156,Africa,Medium
156,Papua New Guinea,0.558,65.4,Mean,4.7,"4,009",157,Australia,Medium
158,Mauritania,0.556,64.4,Mean,4.9,"5,075",158,Africa,Medium
159,Côte d'Ivoire,0.55,58.6,Mean,5.2,"5,217",159,Africa,Medium
160,Tanzania,0.549,66.2,Mean,6.4,"2,664",160,Africa,Low
161,Pakistan,0.544,66.1,Mean,4.5,"4,624",161,Asia,Low
162,Togo,0.539,61.6,Mean,5,"2,167",163,Africa,Low
163,Haiti,0.535,63.2,Mean,5.6,"2,848",162,North America,Low
163,Nigeria,0.535,52.7,Mean,7.2,"4,790",163,Africa,Low
165,Rwanda,0.534,66.1,Mean,4.4,"2,210",165,Africa,Low
166,Benin,0.525,59.8,Mean,4.3,"3,409",166,Africa,Low
166,Uganda,0.525,62.7,Mean,5.7,"2,181",166,Africa,Low
168,Lesotho,0.514,53.1,Mean,6,"2,700",168,Africa,Low
169,Malawi,0.512,62.9,Mean,4.5,"1,466",169,Africa,Low
170,Senegal,0.511,67.1,Mean,2.9,"3,344",170,Africa,Low
171,Djibouti,0.509,62.3,Mean,4.1,"5,025",171,Africa,Low
172,Sudan,0.508,65.3,Mean,3.8,"3,575",171,Africa,Low
173,Madagascar,0.501,64.5,Mean,5.1,"1,484",173,Africa,Low
174,Gambia,0.5,62.1,Mean,4.6,"2,172",173,Africa,Low
175,Ethiopia,0.498,65,Mean,3.2,"2,361",175,Africa,Low
176,Eritrea,0.492,66.5,Mean,4.9,"1,729",176,Africa,Low
177,Guinea-Bissau,0.483,59.7,Mean,3.6,"1,908",177,Africa,Low
178,Liberia,0.481,60.7,Mean,5.1,"1,289",179,Africa,Low
179,Dem. Rep. Congo,0.479,59.2,Mean,7,"1,076",180,Africa,Low
180,Afghanistan,0.478,62,Mean,3,"1,824",177,Asia,Low
181,Sierra Leone,0.477,60.1,Mean,4.6,"1,622",181,Africa,Low
182,Guinea,0.465,58.9,Mean,2.2,"2,481",182,Africa,Low
183,Yemen,0.455,63.8,Mean,3.2,"1,314",183,Africa,Low
184,Burkina Faso,0.449,59.3,Mean,2.1,"2,118",185,Africa,Low
185,Mozambique,0.446,59.3,Mean,3.2,"1,198",184,Africa,Low
186,Mali,0.428,58.9,Mean,2.3,"2,133",186,Africa,Low
187,Burundi,0.426,61.7,Mean,3.1,732,187,Africa,Low
188,Central African Rep.,0.404,53.9,Mean,4.3,966,188,Africa,Low
189,Niger,0.4,61.6,Mean,2.1,"1,240",189,Africa,Low
190,Chad,0.394,52.5,Mean,2.6,"1,364",190,Africa,Low
191,S. Sudan,0.385,55,Mean,5.7,768,191,Africa,Low
1,Switzerland,0.962,84,Expected,16.5,"66,933",3,Europe,Very High
2,Norway,0.961,83.2,Expected,18.2,"64,660",1,Europe,Very High
3,Iceland,0.959,82.7,Expected,19.2,"55,782",2,Europe,Very High
4,"Hong Kong, China (SAR)",0.952,85.5,Expected,17.3,"62,607",4,Asia,Very High
5,Australia,0.951,84.5,Expected,21.1,"49,238",5,Australia,Very High
6,Denmark,0.948,81.4,Expected,18.7,"60,365",5,Europe,Very High
7,Sweden,0.947,83,Expected,19.4,"54,489",9,Europe,Very High
8,Ireland,0.945,82,Expected,18.9,"76,169",8,Europe,Very High
9,Germany,0.942,80.6,Expected,17,"54,534",7,Europe,Very High
